"","target_id","ext_gene","2dpi-0dpi","4dpi-0dpi","7dpi-0dpi","12dpi-0dpi"
"317","ENSDART00000087991","fndc3bb",1,1,1,0
"318","ENSDART00000065159","zgc:158291",-1,-1,0,1
"319","ENSDART00000051392","spns3",1,1,1,0
"320","ENSDART00000039277","lhfpl3",-1,-1,-1,0
"321","ENSDART00000084014","cplx1",-1,-1,0,1
"322","ENSDART00000154501","cntnap1",-1,-1,-1,0
"323","ENSDART00000015841","gstt1b",1,1,0,0
"324","ENSDART00000142976","kcnip3a",-1,-1,-1,0
"325","ENSDART00000108818","arhgap32a",-1,-1,0,0
"326","ENSDART00000052346","gnao1b",-1,-1,0,0
"327","ENSDART00000106619","nrn1a",-1,-1,0,0
"328","ENSDART00000077511","ccr9a",1,1,1,0
"329","ENSDART00000098667","camk2b1",-1,-1,-1,0
"330","ENSDART00000154679","ypel2b",-1,-1,-1,0
"331","ENSDART00000133735","cacng7b",-1,-1,-1,0
"332","ENSDART00000151393","zak",1,1,1,0
"333","ENSDART00000058774","havcr1",1,1,0,0
"334","ENSDART00000163791","acss2l",-1,-1,0,0
"335","ENSDART00000169552","cdh13",-1,-1,0,0
"336","ENSDART00000121874","nfasca",-1,-1,0,0
"337","ENSDART00000151892","BX248324.2",1,1,1,1
"338","ENSDART00000090406","dock11",1,1,1,0
"339","ENSDART00000026378","slc25a6",-1,-1,0,0
"340","ENSDART00000154667","SORCS3",-1,-1,0,0
"341","ENSDART00000110136","cntnap5b",-1,-1,-1,0
"342","ENSDART00000007522","anos1a",-1,-1,-1,0
"343","ENSDART00000056671","brinp2",-1,-1,-1,0
"344","ENSDART00000154314","prph",1,1,1,1
"345","ENSDART00000136182","si:ch211-222n4.2",1,1,1,0
"346","ENSDART00000002691","tspan7b",-1,-1,0,0
"347","ENSDART00000100444","fam19a5a",-1,-1,0,0
"348","ENSDART00000104188","igsf21b",-1,-1,0,0
"349","ENSDART00000109356","klf7a",-1,-1,0,0
"350","ENSDART00000133985","kcnd1",-1,-1,-1,0
"351","ENSDART00000157518","hspa12a",-1,-1,0,0
"352","ENSDART00000111531","epdl1",1,1,1,0
"353","ENSDART00000146380","map6d1",-1,-1,0,0
"354","ENSDART00000122905","rac3b",-1,-1,0,0
"355","ENSDART00000129903","mfsd10",1,1,0,0
"356","ENSDART00000138821","nfil3",1,1,1,1
"357","ENSDART00000154754","grik1b",-1,0,0,0
"358","ENSDART00000102790","glrba",-1,-1,-1,0
"359","ENSDART00000146101","mcoln1a",1,1,0,0
"360","ENSDART00000038202","cndp2",1,0,0,0
"361","ENSDART00000131724","pld3",1,1,0,0
"362","ENSDART00000155273","FP102016.1",1,0,0,0
"363","ENSDART00000150391","si:ch211-214j24.14",1,1,1,0
"364","ENSDART00000149947","bcl2b",-1,-1,0,0
"365","ENSDART00000112655","nfasca",-1,-1,-1,0
"366","ENSDART00000140028","lrrc4.1",-1,-1,-1,0
"367","ENSDART00000040278","efna2a",-1,-1,0,0
"368","ENSDART00000132781","si:dkey-78l4.1",1,1,1,1
"369","ENSDART00000158936","grin1a",-1,-1,0,0
"370","ENSDART00000162857","nr4a3",-1,-1,0,-1
"371","ENSDART00000130891","camk4",-1,-1,-1,0
"372","ENSDART00000140632","bcl2l13",-1,-1,-1,0
"373","ENSDART00000143969","BX247868.1",-1,-1,0,0
"374","ENSDART00000058706","fosaa",-1,-1,-1,-1
"375","ENSDART00000148398","MRAS (1 of many)",1,1,0,0
"376","ENSDART00000147265","rpl8",1,1,1,0
"377","ENSDART00000137648","si:dkeyp-123h10.2",-1,-1,-1,0
"378","ENSDART00000044896","camk2d2",-1,-1,-1,0
"379","ENSDART00000173421","lingo2a",-1,-1,0,0
"380","ENSDART00000129559","btbd3b",-1,-1,0,0
"381","ENSDART00000159340","ctnnd1",1,1,1,0
"382","ENSDART00000002741","itprip",1,1,1,0
"383","ENSDART00000031937","diras1a",-1,-1,0,0
"384","ENSDART00000149169","ssr2",1,1,0,0
"385","ENSDART00000081338","slc9a5",1,1,1,1
"386","ENSDART00000170510","RIMBP2 (1 of many)",-1,-1,0,0
"387","ENSDART00000166533","zgc:123181",-1,0,0,1
"388","ENSDART00000029133","snu13b",1,1,1,0
"389","ENSDART00000124331","si:ch1073-174d20.1",-1,-1,0,0
"390","ENSDART00000022768","ak5",-1,-1,-1,0
"391","ENSDART00000149443","pcdh19",-1,-1,-1,0
"392","ENSDART00000121457","lbh",-1,-1,-1,-1
"393","ENSDART00000135768","lrp1ba",-1,-1,0,0
"394","ENSDART00000084381","sybu",-1,-1,-1,0
"395","ENSDART00000063804","wu:fj39g12",-1,-1,-1,-1
"396","ENSDART00000136382","gadd45ba",1,1,1,0
"397","ENSDART00000128807","gpr22a",-1,-1,-1,0
"398","ENSDART00000122288","ctsla",1,0,0,0
"399","ENSDART00000089699","prrt1",-1,-1,0,0
"400","ENSDART00000173119","pcdh11",-1,-1,-1,0
"401","ENSDART00000083066","asphd2",-1,-1,0,0
"402","ENSDART00000044241","KCNQ2 (1 of many)",-1,-1,1,1
"403","ENSDART00000165309","pmt",1,1,1,1
"404","ENSDART00000111806","cenpe",1,1,1,0
"405","ENSDART00000124112","pou4f2",-1,-1,0,1
"406","ENSDART00000104519","stat3",1,1,1,0
"407","ENSDART00000165638","pax10",-1,-1,0,0
"408","ENSDART00000083126","cidec",1,1,0,0
"409","ENSDART00000066294","cdk5r1b",-1,-1,0,0
"410","ENSDART00000115058","pbxip1a",-1,-1,-1,-1
"411","ENSDART00000112735","fam19a1a",-1,-1,-1,-1
"412","ENSDART00000158671","sult4a1",-1,-1,0,0
"413","ENSDART00000055936","isl2b",-1,-1,0,0
"414","ENSDART00000018654","rnd1b",-1,-1,0,-1
"415","ENSDART00000057318","dusp8b",1,1,1,0
"416","ENSDART00000113441","mylk5",1,0,0,-1
"417","ENSDART00000059179","nptxra",-1,-1,-1,0
"418","ENSDART00000126744","nrg3b",-1,-1,0,0
"419","ENSDART00000030773","foxo3a",-1,-1,0,0
"420","ENSDART00000129866","pcsk2",-1,-1,0,0
"421","ENSDART00000078596","hspd1",1,1,0,0
"422","ENSDART00000013409","prmt3",1,1,1,0
"423","ENSDART00000136559","ano8a",-1,-1,-1,0
"424","ENSDART00000055287","zgc:109934",1,1,0,0
"425","ENSDART00000002186","uck2a",1,1,1,1
"426","ENSDART00000019294","si:dkeyp-75b4.9",-1,-1,0,0
"427","ENSDART00000073950","olfm1a",-1,-1,0,0
"428","ENSDART00000034850","dbi",1,1,1,0
"429","ENSDART00000078949","afap1l1b",1,1,1,1
"430","ENSDART00000016983","spon1a",-1,-1,-1,0
"431","ENSDART00000091004","pcdh1a",-1,-1,0,0
"432","ENSDART00000013117","syt5b",-1,-1,-1,-1
"433","ENSDART00000162277","grip1",-1,0,0,0
"434","ENSDART00000155051","mych",1,1,1,0
"435","ENSDART00000113093","gba",1,0,0,0
"436","ENSDART00000125531","plppr5a",-1,-1,-1,-1
"437","ENSDART00000098727","svopa",-1,-1,0,0
"438","ENSDART00000144139","elavl4",1,1,1,0
"439","ENSDART00000160811","b3gat1a",-1,-1,0,0
"440","ENSDART00000171743","sypa",-1,-1,-1,0
"441","ENSDART00000036513","trib3",1,1,1,0
"442","ENSDART00000066411","dlgap5",1,1,0,0
"443","ENSDART00000150863","nrp2a",1,0,1,1
"444","ENSDART00000140523","mrc1b",1,1,0,0
"445","ENSDART00000019140","rorab",-1,0,-1,0
